lbf,mlb,lbob,mlst,dtrange,pd,belong_to
1,2.289999999999999,49.60052223623862,0.17817041517497584,131.40868674,25.672600454296028,0.0
1,2.289999999999999,64.43315664790603,5.131242721158994,132.225186297,25.672600454296028,1.0
1,0,50.41295807271084,0,113.575330482,19.6262726431366,
1,2.289999999999999,65.65231225725609,4.048227662880873,109.027830345,25.672600454296028,3.0
1,2.289999999999999,52.398961490784565,7.688252766725457,109.367766998,25.672600454296028,4.0
1,2.289999999999999,56.51730286312018,9.0669846711439,102.583028175,25.672600454296028,5.0
1,2.289999999999999,29.086816871972747,9.118928942917734,123.796408679,25.672600454296028,6.0
1,2.289999999999999,69.86821059105357,0.28253458346146737,136.087725049,25.672600454296028,7.0
1,2.289999999999999,51.25213439288683,7.4903072591856965,125.751415974,25.672600454296028,8.0
1,2.289999999999999,69.85281652132879,8.48851311464015,120.595848652,25.672600454296028,9.0
1,2.289999999999999,38.64891367460182,7.464094978693244,114.290668918,25.672600454296028,10.0
1,2.289999999999999,47.91665467566776,8.175971367462703,115.509780044,25.672600454296028,11.0
1,2.289999999999999,70.79392612953508,1.4987783110652189,107.818642255,25.672600454296028,12.0
1,1.3900000000000003,61.56103551009521,0.0,112.567911225,20.648155708854,67.0
1,2.289999999999999,42.06975176405394,0.08856629272421153,128.858846601,25.672600454296028,14.0
1,2.289999999999999,36.3663955579741,4.0391080383863125,105.714605704,25.672600454296028,15.0
1,2.289999999999999,41.60085944351262,1.4840848150102035,122.210090273,25.672600454296028,16.0
1,2.289999999999999,39.836484760664135,0.2904175768770153,123.939274251,25.672600454296028,17.0
1,2.289999999999999,34.41026582527407,7.78909641605647,123.789254136,25.672600454296028,18.0
1,2.289999999999999,54.950376221420285,7.93394227084978,131.774720996,25.672600454296028,19.0
1,2.289999999999999,35.53842906199033,7.06809901739282,109.433409671,25.672600454296028,20.0
1,2.289999999999999,56.50863839817348,8.365633419501428,129.397752312,25.672600454296028,21.0
1,2.289999999999999,49.47797550575279,5.137999519102686,147.494392678,25.672600454296028,22.0
1,2.289999999999999,50.594624749980724,0.16021311109359934,122.276439216,25.672600454296028,23.0
1,2.289999999999999,34.86539629705314,8.648887763577104,108.280921475,25.672600454296028,24.0
1,2.289999999999999,56.43604534107824,8.445820636753734,154.28691447,25.672600454296028,25.0
1,2.289999999999999,53.22516976726949,10.0,140.958208533,25.672600454296028,26.0
1,1.09,45.819225673336234,0.0,84.4752737882,15.073638240947023,77.0
1,2.289999999999999,43.721776229329244,8.223293969505113,114.063447219,25.672600454296028,28.0
1,2.289999999999999,59.59030870144308,1.4205686541753273,122.754834054,25.672600454296028,29.0
1,1.6300000000000006,43.11107994053615,0.0,99.7213480203,22.208931157148854,19.0
1,2.289999999999999,50.66464334085886,0.024522173290382983,146.281199375,25.672600454296028,31.0
1,2.289999999999999,41.57127345775493,7.47035018889551,110.031659147,25.672600454296028,32.0
1,2.289999999999999,54.47324631607353,1.598671139569176,123.869014379,25.672600454296028,33.0
1,2.289999999999999,53.19527350126883,8.194017262272952,106.436349967,25.672600454296028,34.0
1,2.289999999999999,52.025116447457876,0.16571701425159444,108.234014249,25.672600454296028,35.0
1,2.289999999999999,57.82581469998291,8.178872420044042,154.607492415,25.672600454296028,36.0
1,2.289999999999999,43.897193386110274,8.291898120863587,114.660310679,25.672600454296028,37.0
1,2.289999999999999,51.85460485041157,9.434462529068433,112.172207432,25.672600454296028,38.0
1,2.289999999999999,61.84976933755636,8.009096252849071,116.672789419,25.672600454296028,39.0
1,2.289999999999999,59.33088046862188,9.95854302979324,114.318420733,25.672600454296028,40.0
1,1.1800000000000002,56.23650519685158,0.0,69.7854408392,18.282395788659223,54.0
1,2.289999999999999,68.64199196506813,10.0,186.628463639,25.672600454296028,42.0
1,2.289999999999999,36.858150685899645,9.558429454527763,120.507450164,25.672600454296028,43.0
1,2.289999999999999,50.485901040494596,7.209957020990369,121.250197217,25.672600454296028,44.0
1,2.289999999999999,56.666970229949335,8.334102152810377,104.195874663,25.672600454296028,45.0
1,2.289999999999999,41.646148932530416,8.351880269985367,126.451862594,25.672600454296028,46.0
1,2.289999999999999,37.003546581310744,8.020083577181383,143.879963105,25.672600454296028,47.0
1,2.289999999999999,50.41436503240777,7.052585027928465,102.942956836,25.672600454296028,48.0
1,2.289999999999999,57.371432501845234,8.111344351342591,150.092958182,25.672600454296028,49.0
1,0,34.88612458306514,0,115.384944339,25.167249091381077,
1,2.289999999999999,69.72662977692664,6.9095551130903745,105.901901739,25.672600454296028,51.0
