name,mlb,btTch,dfTch,ocl,attr,pd,mlst,know_num,allies_num,enemies_num
0,0,1.0,1000.0,,0,0.0,0.0,0,0,0
1,0,1.0,1000.0,,0,0.0,0.0,0,0,0
2,0,1.0,1000.0,,0,0.0,0.0,0,0,0
3,1,1.0,1000.0,[3],0,71.96815186045157,0.1897717859145864,106,4,3
4,1,1.0,1000.0,[4],1,71.96815186045157,0.518513457754507,106,0,11
5,1,1.0,1000.0,[5],2,71.96815186045157,7.131419120549731,106,0,4
6,1,1.0,1000.0,[6],2,71.96815186045157,5.027301464390292,106,0,9
7,0,1.0,1000.0,,0,0.0,0.0,0,0,0
8,1,1.0,1000.0,[8],1,71.96815186045157,1.5493460310648388,106,0,12
9,1,1.0,1000.0,[9],2,71.96815186045157,5.8768269981108645,106,0,4
10,1,1.0,1000.0,[10],1,71.96815186045157,1.01111548013572,106,0,11
11,1,1.0,1000.0,[11],2,71.96815186045157,4.444930392405758,106,0,7
12,0,1.0,1000.0,,0,0.0,0.0,0,0,0
13,0,1.0,1000.0,,0,0.0,0.0,0,0,0
14,0,1.0,1000.0,,0,0.0,0.0,0,0,0
15,0,1.0,1000.0,,0,0.0,0.0,0,0,0
16,0,1.0,1000.0,,0,0.0,0.0,0,0,0
17,0,1.0,1000.0,,0,0.0,0.0,0,0,0
18,1,1.0,1000.0,[18],1,71.96815186045157,2.154051849487648,106,0,11
19,1,1.0,1000.0,[19],2,71.96815186045157,5.764887886025014,106,0,4
20,1,1.0,1000.0,[20],1,71.96815186045157,0.9826686928865824,106,0,11
21,0,1.0,1000.0,,1,0.0,0.0,0,0,0
22,0,1.0,1000.0,,0,0.0,0.0,0,0,0
23,0,1.0,1000.0,,0,0.0,0.0,0,0,0
24,1,1.0,1000.0,[24],2,71.96815186045157,5.468540925364817,106,0,6
25,1,1.0,1000.0,[25],1,71.96815186045157,3.851571499626585,106,0,8
26,1,1.0,1000.0,[26],2,71.96815186045157,9.672531286399444,106,0,2
27,0,1.0,1000.0,,0,0.0,0.0,0,0,0
28,1,1.0,1000.0,[28],2,71.96815186045157,5.147116837148638,106,0,5
29,0,1.0,1000.0,,0,0.0,0.0,0,0,0
30,0,1.0,1000.0,,0,0.0,0.0,0,0,0
31,0,1.0,1000.0,,0,0.0,0.0,0,0,0
32,0,1.0,1000.0,,1,0.0,0.0,0,0,0
33,0,1.0,1000.0,,0,0.0,0.0,0,0,0
34,1,1.0,1000.0,[34],1,71.96815186045157,1.5428105493572906,106,0,13
35,0,1.0,1000.0,,0,0.0,0.0,0,0,0
36,1,1.0,1000.0,[36],1,71.96815186045157,2.240971252351461,106,0,10
37,1,1.0,1000.0,[37],1,71.96815186045157,1.8493021933256686,106,0,15
