name,mlb,btTch,dfTch,ocl,attr,pd,mlst,know_num,allies_num,enemies_num
0,0,1.0,1000.0,,0,0.0,0.0,0,0,0
1,0,1.0,1000.0,,0,0.0,0.0,0,0,0
2,0,1.0,1000.0,,0,0.0,0.0,0,0,0
3,1,1.0,1000.0,[3],0,52.16776991969099,2.7508023736642864,83,4,2
4,1,1.0,1000.0,[4],1,52.16776991969099,3.220555793751013,83,0,11
5,1,1.0,1000.0,[5],2,52.16776991969099,7.62518271378447,83,0,4
6,1,1.0,1000.0,[6],2,52.16776991969099,6.388128683010595,83,0,6
7,0,1.0,1000.0,,0,0.0,0.0,0,0,0
8,1,1.0,1000.0,[8],1,52.16776991969099,3.448488991959214,83,0,9
9,1,1.0,1000.0,[9],2,52.16776991969099,6.60189629810123,83,0,4
10,1,1.0,1000.0,[10],1,52.16776991969099,2.9321250300612376,83,0,11
11,1,1.0,1000.0,[11],2,52.16776991969099,5.351028494741849,83,0,6
12,0,1.0,1000.0,,0,0.0,0.0,0,0,0
13,0,1.0,1000.0,,0,0.0,0.0,0,0,0
14,0,1.0,1000.0,,0,0.0,0.0,0,0,0
15,1,1.0,1000.0,[15],0,52.16776991969099,0.002430806755058754,83,4,4
16,0,1.0,1000.0,,0,0.0,0.0,0,0,0
17,0,1.0,1000.0,,0,0.0,0.0,0,0,0
18,1,1.0,1000.0,[18],1,52.16776991969099,4.374340382288442,83,0,9
19,1,1.0,1000.0,[19],2,52.16776991969099,6.207654624458379,83,0,4
20,1,1.0,1000.0,[20],1,52.16776991969099,2.899562854234406,83,0,11
21,1,1.0,1000.0,[21],1,52.16776991969099,3.0625428084424193,83,0,16
22,0,1.0,1000.0,,0,0.0,0.0,0,0,0
23,0,1.0,1000.0,,0,0.0,0.0,0,0,0
24,1,1.0,1000.0,[24],2,52.16776991969099,6.249448222760084,83,0,5
25,1,1.0,1000.0,[25],1,52.16776991969099,5.280949428062787,83,0,7
26,1,1.0,1000.0,[26],2,52.16776991969099,9.819249805744079,83,0,2
27,0,1.0,1000.0,,0,0.0,0.0,0,0,0
28,1,1.0,1000.0,[28],2,52.16776991969099,5.8792090067107585,83,0,5
29,0,1.0,1000.0,,0,0.0,0.0,0,0,0
30,0,1.0,1000.0,,0,0.0,0.0,0,0,0
31,0,1.0,1000.0,,0,0.0,0.0,0,0,0
32,1,1.0,1000.0,[32],1,52.16776991969099,1.9777787424212903,83,0,13
33,0,1.0,1000.0,,0,0.0,0.0,0,0,0
34,1,1.0,1000.0,[34],1,52.16776991969099,3.65384670320685,83,0,12
35,0,1.0,1000.0,,0,0.0,0.0,0,0,0
36,1,1.0,1000.0,[36],1,52.16776991969099,3.936723557195857,83,0,11
